---------------------------
Episode 0
Step: 54 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5 0.5 0.5 0.5 0.5]
Step: 55 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5 0.5 0.5 0.5 0.5]
Step: 56 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5 0.5 0.5 0.5 0.5]
Step: 57 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5 0.5 0.5 0.5 0.5]
Step: 58 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5  0.5  0.5  0.55 0.5 ]
Step: 59 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5  0.5  0.5  0.55 0.55]
Step: 60 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5   0.5   0.5   0.595 0.55 ]
Step: 61 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5   0.5   0.5   0.595 0.595]
---------------------------
Episode 1
Step: 3 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5   0.5   0.5   0.595 0.595]
Step: 4 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5   0.5   0.5   0.595 0.595]
Step: 5 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5    0.5    0.5095 0.595  0.595 ]
Step: 6 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5    0.55   0.5095 0.595  0.595 ]
Step: 7 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5     0.55    0.55855 0.595   0.595  ]
Step: 8 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5     0.55    0.55855 0.6355  0.595  ]
Step: 9 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5     0.55    0.55855 0.6355  0.6355 ]
---------------------------
Episode 2
Step: 3 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5      0.55     0.566245 0.6355   0.6355  ]
Step: 4 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5      0.55     0.566245 0.6355   0.6355  ]
Step: 5 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5      0.55     0.566245 0.6355   0.6355  ]
Step: 6 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5      0.55     0.566245 0.62695  0.6355  ]
Step: 7 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5      0.55     0.566245 0.62695  0.62195 ]
Step: 8 | State: 0 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5      0.55     0.566245 0.619255 0.62195 ]
Step: 9 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5       0.55      0.5596205 0.619255  0.62195  ]
Step: 10 | State: 0 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5       0.55      0.5596205 0.619255  0.62195  ]
Step: 11 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.50596205 0.55       0.5596205  0.619255   0.62195   ]
Step: 12 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.50596205 0.55       0.5596205  0.619255   0.62195   ]
Step: 13 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279 0.55      0.5596205 0.619255  0.62195  ]
Step: 14 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279 0.5569255 0.5596205 0.619255  0.62195  ]
Step: 15 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5113279  0.5569255  0.56585345 0.619255   0.62195   ]
Step: 16 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.619255   0.62195   ]
Step: 17 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.619255   0.62195   ]
Step: 18 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.619255   0.62195   ]
Step: 19 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.619255   0.62195   ]
Step: 20 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.619255   0.62195   ]
Step: 21 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.619255   0.62195   ]
Step: 22 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.61364535 0.62195   ]
